title,description,category,subcategory,priority,department
FYI for the helpdesk team. Cannot connect to corporate VPN,Unable to establish VPN connection from home. It says handshake failed or connection timed out. Multiple teammates are experiencing this as well.,Network,VPN,HIGH,Network Support
Please assist urgently. Account locked after 3 invalid attempts,My domain account is locked out across all workstations and SSO services. This is blocking my daily tasks.,Account & Access,Login Problem,HIGH,IT Helpdesk
Escalation: Wireless mouse scroll wheel broken,Logitech wireless mouse scroll wheel is spinning freely without scrolling. Impacting ongoing customer deliverables.,Hardware,Peripherals,LOW,Hardware Support
Help needed: Pulse Secure VPN crashing on startup,"Whenever I launch the Pulse Secure VPN app on Windows 11, it crashes immediately. Kindly look into this as soon as possible.",Network,VPN,HIGH,Network Support
Excel crashing when opening financial report,Opening large 50MB spreadsheet causes Excel to crash with Exception code 0xc0000005.,Software,Application Crash,MEDIUM,Software Support
Windows 11 update stuck at 74% loop,Laptop has been rebooting and reverting update KB5034441 for 2 hours.,Software,Update Issue,MEDIUM,Software Support
Need immediate help with this. Shared network drive \\nas01\projects is out of space,Users cannot save files to corporate project storage; disk quota exceeded. Occurred right after rebooting.,Server / Infrastructure,Storage,HIGH,Infrastructure
Help needed: Database replica lag exceeded 30 minutes,Read replica in secondary region is falling behind master causing stale reads. Kindly look into this as soon as possible.,Server / Infrastructure,Database Issue,CRITICAL,Infrastructure
USB-C docking station ports not working,USB flash drives plugged into dock front ports are not detected by Windows.,Hardware,Peripherals,MEDIUM,Hardware Support
PostgreSQL primary database connection pool exhausted,Application logs show 'FATAL: remaining connection slots are reserved for non-replication superuser connections'.,Server / Infrastructure,Database Issue,CRITICAL,Infrastructure
Clicked suspicious link in unexpected email,I inadvertently clicked on a link in an email claiming to be Microsoft password reset.,Security,Phishing,HIGH,Security
Issue started this morning. MFA push notifications not received on mobile,Authenticator app is not popping up push requests to approve login. Restarting the system did not resolve the problem.,Account & Access,MFA,MEDIUM,IT Helpdesk
FYI for the helpdesk team. Dead pixels line across display,A vertical pink line has appeared down the center of my secondary screen. Multiple teammates are experiencing this as well.,Hardware,Monitor,MEDIUM,Hardware Support
Urgent assistance required: Outlook OST data file corrupt error,Error message: 'The file C:\Users\user\AppData\outlook.ost cannot be accessed.' Error code was captured in screenshot.,Email,Outlook Problem,MEDIUM,Email Support
Need immediate help with this. ERP system password expired,SAP / Oracle login states credentials have expired and requires IT admin reset. Occurred right after rebooting.,Account & Access,Password Reset,MEDIUM,IT Helpdesk
Please assist urgently. VPN client installation error,"When trying to install the Cisco VPN client on macOS, the installer throws error 1722. This is blocking my daily tasks.",Network,VPN,HIGH,Network Support
Outlook search indexing not returning emails,Searching for customer emails in Outlook returns zero results or incomplete list.,Email,Outlook Problem,HIGH,Email Support
Urgent assistance required: Cannot send email to distribution list,Getting error: 'You don't have permission to send to this distribution group.' Error code was captured in screenshot.,Email,Email Not Sending,CRITICAL,Email Support
Need immediate help with this. Visual Studio Code memory leak and crash,VS Code consumes 16 GB RAM within 30 minutes and freezes the operating system. Occurred right after rebooting.,Software,Application Crash,HIGH,Software Support
Help needed: WiFi connected but no internet access,"Connected to WiFi with full signal bars, but browser says DNS resolution failed. Kindly look into this as soon as possible.",Network,WiFi,HIGH,Network Support
Help needed: SAN storage volume degraded on LUN 3,Storage array controller reporting failed drive in RAID 6 group. Kindly look into this as soon as possible.,Server / Infrastructure,Storage,MEDIUM,Infrastructure
Urgent assistance required: Touchpad unresponsive on Dell Latitude,Cursor doesn't move when using the trackpad; external USB mouse works fine. Error code was captured in screenshot.,Hardware,Laptop,LOW,Hardware Support
Escalation: Emails going directly to Junk / Spam folder,Legitimate internal communication from HR is being routed to Spam folder. Impacting ongoing customer deliverables.,Email,Email Not Receiving,HIGH,Email Support
Urgent assistance required: Database disk space utilization reached 98%,Postgres WAL archive directory is filling up rapidly; less than 2 GB remaining. Error code was captured in screenshot.,Server / Infrastructure,Database Issue,CRITICAL,Infrastructure
Issue started this morning. Install Zoom client for upcoming client presentation,Software Center installation of Zoom failed with error code 1603. Restarting the system did not resolve the problem.,Software,Software Installation,LOW,Software Support
Escalation: Intermittent packet loss on office LAN,Experiencing 25% packet loss when pinging local gateway 192.168.1.1. Impacting ongoing customer deliverables.,Network,Internet Connectivity,HIGH,Network Support
Please assist urgently. Multiple failed login attempts during midnight hours,Security log shows 400 failed login attempts against my username. This is blocking my daily tasks.,Security,Suspicious Login,HIGH,Security
Urgent assistance required: Workstation displaying weird popups and opening browsers,Browser windows opening automatically to gambling and ad sites every 30 seconds. Error code was captured in screenshot.,Security,Malware,CRITICAL,Security
FYI for the helpdesk team. VPN certificate expired,Error message says client certificate has expired and needs renewal from network admin. Multiple teammates are experiencing this as well.,Network,VPN,CRITICAL,Network Support
Need immediate help with this. Multiple failed login attempts during midnight hours,Security log shows 400 failed login attempts against my username. Occurred right after rebooting.,Security,Suspicious Login,CRITICAL,Security
Please assist urgently. Offsite cloud backup replication sync error,AWS S3 glacier lifecycle replication job timed out with network error. This is blocking my daily tasks.,Server / Infrastructure,Backup,MEDIUM,Infrastructure
FYI for the helpdesk team. Floor 2 HP LaserJet paper jam error 13.00,Paper is stuck in tray 2 and the printer display says Jam in Cartridge Area. Multiple teammates are experiencing this as well.,Hardware,Printer,HIGH,Hardware Support
Urgent assistance required: Wireless mouse scroll wheel broken,Logitech wireless mouse scroll wheel is spinning freely without scrolling. Error code was captured in screenshot.,Hardware,Peripherals,LOW,Hardware Support
Help needed: Need access to GitHub organization repository,"Starting on Project Apollo, please add my GitHub user to backend engineering team. Kindly look into this as soon as possible.",Account & Access,Access Request,MEDIUM,IT Helpdesk
Core API server unresponsive with HTTP 502/504 errors,NGINX reverse proxy is throwing 502 Bad Gateway for all client traffic to main backend.,Server / Infrastructure,Server Down,CRITICAL,Infrastructure
Please assist urgently. Spear phishing targeting executive assistant,Attacker attempting wire transfer authorization using spoofed CFO email header. This is blocking my daily tasks.,Security,Phishing,CRITICAL,Security
Please assist urgently. Laptop fan making loud grinding noise and overheating,The cooling fan is rattling loudly and the CPU throttles to 0.4 GHz. This is blocking my daily tasks.,Hardware,Laptop,HIGH,Hardware Support
Please assist urgently. Production Kubernetes cluster node kernel panic,Worker node 04 crashed with kernel panic; pods evicting to remaining nodes. This is blocking my daily tasks.,Server / Infrastructure,Server Down,CRITICAL,Infrastructure
Escalation: Production database query deadlocks causing timeouts,Multiple transactions on orders table deadlocking and aborting checkout flows. Impacting ongoing customer deliverables.,Server / Infrastructure,Database Issue,HIGH,Infrastructure
Help needed: Unable to reset password via SMS OTP,OTP code for password reset is not arriving on my registered mobile device. Kindly look into this as soon as possible.,Account & Access,Password Reset,LOW,IT Helpdesk
Help needed: Outlook OST data file corrupt error,Error message: 'The file C:\Users\user\AppData\outlook.ost cannot be accessed.' Kindly look into this as soon as possible.,Email,Outlook Problem,MEDIUM,Email Support
Urgent assistance required: VPN routing issues with subnet,Unable to access 10.200.x.x subnet while on corporate VPN. Error code was captured in screenshot.,Network,VPN,HIGH,Network Support
Bounce back error 550 Relaying denied,Sending email to client domains results in NDR error 5.7.1 Access denied.,Email,Email Not Sending,CRITICAL,Email Support
Please assist urgently. VPN routing issues with subnet,Unable to access 10.200.x.x subnet while on corporate VPN. This is blocking my daily tasks.,Network,VPN,HIGH,Network Support
Urgent assistance required: Production Kubernetes cluster node kernel panic,Worker node 04 crashed with kernel panic; pods evicting to remaining nodes. Error code was captured in screenshot.,Server / Infrastructure,Server Down,CRITICAL,Infrastructure
Laptop won't power on at all,"Pressing power button produces no fan noise, charging LED doesn't light up.",Hardware,Laptop,MEDIUM,Hardware Support
VPN authentication failed,Entering my credentials but VPN says authentication error even though password is correct.,Network,VPN,HIGH,Network Support
Escalation: External USB keyboard typing double letters,Keys chattering: typing 'e' produces 'ee' on the mechanical keyboard. Impacting ongoing customer deliverables.,Hardware,Peripherals,LOW,Hardware Support
Escalation: Unable to connect to office WiFi,My laptop sees the Corp-WiFi SSID but fails to obtain an IP address via DHCP. Impacting ongoing customer deliverables.,Network,WiFi,MEDIUM,Network Support
Reverse DNS lookup failure,Mail server is failing reverse PTR checks causing outgoing emails to bounce.,Network,DNS,MEDIUM,Network Support
Help needed: Session hijacked on corporate portal,Activity log indicates active session while I was asleep and laptop was powered off. Kindly look into this as soon as possible.,Security,Suspicious Login,CRITICAL,Security
Issue started this morning. Hyper-V host hardware purple screen of death,Host server running 15 virtual machines crashed due to memory parity error. Restarting the system did not resolve the problem.,Server / Infrastructure,Server Down,CRITICAL,Infrastructure
Urgent assistance required: Cannot access internal git server through VPN,VPN is connected with green status but I cannot ping or clone from gitlab.internal. Error code was captured in screenshot.,Network,VPN,HIGH,Network Support
Need immediate help with this. Alert: Login to my corporate account from Russia / Unknown location,Received Microsoft security alert about successful login from unfamiliar IP address. Occurred right after rebooting.,Security,Suspicious Login,HIGH,Security
Help needed: Printer out of toner cartridge black,Printing documents comes out faint and streaked. Need replacement black toner. Kindly look into this as soon as possible.,Hardware,Printer,MEDIUM,Hardware Support
FYI for the helpdesk team. Install Zoom client for upcoming client presentation,Software Center installation of Zoom failed with error code 1603. Multiple teammates are experiencing this as well.,Software,Software Installation,LOW,Software Support
Urgent assistance required: Outlook disconnected from Exchange server,Status bar in Outlook constantly displays Disconnected or Trying to connect. Error code was captured in screenshot.,Email,Outlook Problem,MEDIUM,Email Support
Please assist urgently. SAN storage volume degraded on LUN 3,Storage array controller reporting failed drive in RAID 6 group. This is blocking my daily tasks.,Server / Infrastructure,Storage,MEDIUM,Infrastructure
Help needed: High network latency in design studio,"Ping times to internal file server spiked to 600ms, impacting video editing. Kindly look into this as soon as possible.",Network,Internet Connectivity,HIGH,Network Support
Issue started this morning. Outlook calendar appointments disappeared,Shared team calendar is not syncing and recurring meetings have vanished. Restarting the system did not resolve the problem.,Email,Outlook Problem,HIGH,Email Support
Please assist urgently. Remote access VPN speed extremely slow,VPN connection is established but speeds are below 50 Kbps making it impossible to work. This is blocking my daily tasks.,Network,VPN,HIGH,Network Support
FYI for the helpdesk team. Outlook disconnected from Exchange server,Status bar in Outlook constantly displays Disconnected or Trying to connect. Multiple teammates are experiencing this as well.,Email,Outlook Problem,HIGH,Email Support
Issue started this morning. Intermittent packet loss on office LAN,Experiencing 25% packet loss when pinging local gateway 192.168.1.1. Restarting the system did not resolve the problem.,Network,Internet Connectivity,HIGH,Network Support
FYI for the helpdesk team. Session hijacked on corporate portal,Activity log indicates active session while I was asleep and laptop was powered off. Multiple teammates are experiencing this as well.,Security,Suspicious Login,HIGH,Security
Help needed: Chrome browser update failed with error 7,Chrome cannot update to latest security release on enterprise workstation. Kindly look into this as soon as possible.,Software,Update Issue,HIGH,Software Support
Need immediate help with this. Production Linux server unreachable via SSH or ping,Webserver prod-web-01 stopped responding to health checks 10 minutes ago. Occurred right after rebooting.,Server / Infrastructure,Server Down,CRITICAL,Infrastructure
Need immediate help with this. Company-wide intranet and ERP completely inaccessible,"All employees in North America region unable to access ERP, HR portal, or intranet. Occurred right after rebooting.",Server / Infrastructure,System Outage,CRITICAL,Infrastructure
FYI for the helpdesk team. Network printer offline in Windows print queue,Sending print jobs to HR-Printer-01 sits in spooler status Offline. Multiple teammates are experiencing this as well.,Hardware,Printer,MEDIUM,Hardware Support
NFS mount stale file handle on backup server,Backup script failing because NFS export becomes unreachable during sync.,Server / Infrastructure,Storage,MEDIUM,Infrastructure
Need immediate help with this. Tableau Desktop license activation error,Tableau activation server unreachable error when activating license key. Occurred right after rebooting.,Software,License Issue,HIGH,Software Support
FYI for the helpdesk team. Laptop fan making loud grinding noise and overheating,The cooling fan is rattling loudly and the CPU throttles to 0.4 GHz. Multiple teammates are experiencing this as well.,Hardware,Laptop,HIGH,Hardware Support
External USB keyboard typing double letters,Keys chattering: typing 'e' produces 'ee' on the mechanical keyboard.,Hardware,Peripherals,LOW,Hardware Support
Escalation: Windows 11 update stuck at 74% loop,Laptop has been rebooting and reverting update KB5034441 for 2 hours. Impacting ongoing customer deliverables.,Software,Update Issue,MEDIUM,Software Support
VPN disconnects every 10 minutes,GlobalProtect / AnyConnect keeps dropping every few minutes disrupting remote desktop.,Network,VPN,MEDIUM,Network Support
FYI for the helpdesk team. Guest WiFi password not working,Visitors in our reception area cannot authenticate to Corp-Guest network. Multiple teammates are experiencing this as well.,Network,WiFi,HIGH,Network Support
Need immediate help with this. Forgot Active Directory / Windows password,Returned from vacation and cannot recall my domain password. Locked out of PC. Occurred right after rebooting.,Account & Access,Password Reset,MEDIUM,IT Helpdesk
Urgent assistance required: SAN storage volume degraded on LUN 3,Storage array controller reporting failed drive in RAID 6 group. Error code was captured in screenshot.,Server / Infrastructure,Storage,MEDIUM,Infrastructure
Please assist urgently. Forgot Active Directory / Windows password,Returned from vacation and cannot recall my domain password. Locked out of PC. This is blocking my daily tasks.,Account & Access,Password Reset,MEDIUM,IT Helpdesk
Slack crashes every time a call starts,Joining huddles in Slack causes the app to terminate immediately on Windows 11.,Software,Application Crash,MEDIUM,Software Support
Urgent assistance required: AutoCAD freezing on startup splash screen,AutoCAD 2024 hangs at 'Checking license...' and then terminates silently. Error code was captured in screenshot.,Software,Application Crash,HIGH,Software Support
Issue started this morning. Second monitor not detected by docking station,Laptop only outputs to built-in screen; external display says No Signal. Restarting the system did not resolve the problem.,Hardware,Monitor,MEDIUM,Hardware Support
Help needed: External monitor flickering continuously,Dell 27-inch monitor flickers black every 5 seconds over HDMI and DisplayPort. Kindly look into this as soon as possible.,Hardware,Monitor,MEDIUM,Hardware Support
Please assist urgently. Requesting Python and Docker desktop installation,Need local development tools installed on my workstation for new project. This is blocking my daily tasks.,Software,Software Installation,MEDIUM,Software Support
YubiKey hardware token not recognized for MFA,FIDO2 security key fails when tapping for multi-factor authentication.,Account & Access,MFA,HIGH,IT Helpdesk
Lost company laptop on public transit,Left encrypted MacBook Pro on the train this morning. Need remote wipe immediately.,Security,Security Incident,CRITICAL,Security
Help needed: Ransomware note displayed on desktop background,Files have .locked extension and a text file demands cryptocurrency payment. Disconnected from LAN. Kindly look into this as soon as possible.,Security,Malware,CRITICAL,Security
Need immediate help with this. NFS mount stale file handle on backup server,Backup script failing because NFS export becomes unreachable during sync. Occurred right after rebooting.,Server / Infrastructure,Storage,HIGH,Infrastructure
Suspicious CEO gift card request email,Email purporting to be from CEO asking for employee cell phone numbers.,Email,Spam,MEDIUM,Email Support
Laptop screen cracked / black display,Accidentally dropped backpack and the screen has rainbow lines and cracked LCD.,Hardware,Laptop,HIGH,Hardware Support
Issue started this morning. Hyper-V host hardware purple screen of death,Host server running 15 virtual machines crashed due to memory parity error. Restarting the system did not resolve the problem.,Server / Infrastructure,Server Down,CRITICAL,Infrastructure
Urgent assistance required: Slack crashes every time a call starts,Joining huddles in Slack causes the app to terminate immediately on Windows 11. Error code was captured in screenshot.,Software,Application Crash,HIGH,Software Support
Help needed: Request access to Finance shared network drive,Need read/write permissions to \fileserver\finance\quarterly-reports for audit. Kindly look into this as soon as possible.,Account & Access,Access Request,HIGH,IT Helpdesk
Issue started this morning. Unable to reset password via SMS OTP,OTP code for password reset is not arriving on my registered mobile device. Restarting the system did not resolve the problem.,Account & Access,Password Reset,MEDIUM,IT Helpdesk
FYI for the helpdesk team. DNS lookup failed for external domains,Can ping 8.8.8.8 directly by IP but cannot resolve google.com or office.com. Multiple teammates are experiencing this as well.,Network,Internet Connectivity,MEDIUM,Network Support
Help needed: AWS IAM console read-only access request,Requesting AWS sandbox account access for cloud architecture evaluation. Kindly look into this as soon as possible.,Account & Access,Access Request,HIGH,IT Helpdesk
Spam filter letting through malicious invoice attachments,Spoofed emails with zip attachments bypassing Office 365 spam filters.,Email,Spam,MEDIUM,Email Support
Issue started this morning. MFA push notifications not received on mobile,Authenticator app is not popping up push requests to approve login. Restarting the system did not resolve the problem.,Account & Access,MFA,MEDIUM,IT Helpdesk
Please assist urgently. Certificate error when joining 802.1x WiFi,Device prompts for RADIUS server certificate trust and refuses to connect. This is blocking my daily tasks.,Network,WiFi,LOW,Network Support
Urgent assistance required: Emails stuck in Outbox and not sending,Outgoing messages with or without attachments stay in Outbox indefinitely. Error code was captured in screenshot.,Email,Email Not Sending,MEDIUM,Email Support
Urgent assistance required: JetBrains IntelliJ IDEA license key expired,License server says no floating licenses available for IntelliJ Ultimate. Error code was captured in screenshot.,Software,License Issue,MEDIUM,Software Support
Help needed: Laptop fan making loud grinding noise and overheating,The cooling fan is rattling loudly and the CPU throttles to 0.4 GHz. Kindly look into this as soon as possible.,Hardware,Laptop,MEDIUM,Hardware Support
Antivirus pop-up: Trojan.Win32 detected and quarantined,Windows Defender alerted about suspicious executable found in Temp directory.,Security,Malware,HIGH,Security
Important client email delayed by 8 hours,Incoming emails are queuing up in mail gateway with severe delivery latency.,Email,Email Not Receiving,HIGH,Email Support
Please assist urgently. Network printer offline in Windows print queue,Sending print jobs to HR-Printer-01 sits in spooler status Offline. This is blocking my daily tasks.,Hardware,Printer,LOW,Hardware Support
Receiving multiple targeted phishing emails,Several staff members received email asking to verify credentials urgently.,Email,Spam,MEDIUM,Email Support
Not receiving external emails from clients,"Colleagues can email me internally, but no external emails are arriving today.",Email,Email Not Receiving,HIGH,Email Support
Touchpad unresponsive on Dell Latitude,Cursor doesn't move when using the trackpad; external USB mouse works fine.,Hardware,Laptop,MEDIUM,Hardware Support
Help needed: USB-C docking station ports not working,USB flash drives plugged into dock front ports are not detected by Windows. Kindly look into this as soon as possible.,Hardware,Peripherals,LOW,Hardware Support
Need immediate help with this. Core switch stack failure in MDF room,Cisco core switch stack member 1 went offline cutting off all VLAN routing. Occurred right after rebooting.,Server / Infrastructure,System Outage,CRITICAL,Infrastructure
Need immediate help with this. Laptop screen cracked / black display,Accidentally dropped backpack and the screen has rainbow lines and cracked LCD. Occurred right after rebooting.,Hardware,Laptop,MEDIUM,Hardware Support
Help needed: Database replica lag exceeded 30 minutes,Read replica in secondary region is falling behind master causing stale reads. Kindly look into this as soon as possible.,Server / Infrastructure,Database Issue,CRITICAL,Infrastructure
Issue started this morning. Figma enterprise seat license request,Need editor access to team design files in Figma workspace. Restarting the system did not resolve the problem.,Software,License Issue,LOW,Software Support
Request access to Finance shared network drive,Need read/write permissions to \fileserver\finance\quarterly-reports for audit.,Account & Access,Access Request,LOW,IT Helpdesk
FYI for the helpdesk team. Alert: Login to my corporate account from Russia / Unknown location,Received Microsoft security alert about successful login from unfamiliar IP address. Multiple teammates are experiencing this as well.,Security,Suspicious Login,CRITICAL,Security
Lost company laptop on public transit,Left encrypted MacBook Pro on the train this morning. Need remote wipe immediately.,Security,Security Incident,CRITICAL,Security
FYI for the helpdesk team. Jira and Confluence project space permissions,Need edit permissions in Jira project board SRE and team documentation space. Multiple teammates are experiencing this as well.,Account & Access,Access Request,MEDIUM,IT Helpdesk
Dead pixels line across display,A vertical pink line has appeared down the center of my secondary screen.,Hardware,Monitor,MEDIUM,Hardware Support
Need immediate help with this. Need access to GitHub organization repository,"Starting on Project Apollo, please add my GitHub user to backend engineering team. Occurred right after rebooting.",Account & Access,Access Request,LOW,IT Helpdesk
Help needed: Dead pixels line across display,A vertical pink line has appeared down the center of my secondary screen. Kindly look into this as soon as possible.,Hardware,Monitor,MEDIUM,Hardware Support
Need immediate help with this. Guest WiFi password not working,Visitors in our reception area cannot authenticate to Corp-Guest network. Occurred right after rebooting.,Network,WiFi,MEDIUM,Network Support
"Issue started this morning. New phone, need MFA Authenticator reset",I upgraded my smartphone and lost Microsoft Authenticator app 2FA tokens. Restarting the system did not resolve the problem.,Account & Access,MFA,HIGH,IT Helpdesk
Escalation: Cannot login to workstation with smart card,PIN is entered correctly but smart card reader shows error 0x80090016. Impacting ongoing customer deliverables.,Account & Access,Login Problem,HIGH,IT Helpdesk
Help needed: Jira and Confluence project space permissions,Need edit permissions in Jira project board SRE and team documentation space. Kindly look into this as soon as possible.,Account & Access,Access Request,HIGH,IT Helpdesk
Issue started this morning. VPN disconnects every 10 minutes,GlobalProtect / AnyConnect keeps dropping every few minutes disrupting remote desktop. Restarting the system did not resolve the problem.,Network,VPN,MEDIUM,Network Support
Urgent assistance required: Emails going directly to Junk / Spam folder,Legitimate internal communication from HR is being routed to Spam folder. Error code was captured in screenshot.,Email,Email Not Receiving,HIGH,Email Support
Escalation: Install Postman for API testing,Require Postman desktop client for testing microservices endpoints. Impacting ongoing customer deliverables.,Software,Software Installation,LOW,Software Support
Need immediate help with this. Visual Studio Code memory leak and crash,VS Code consumes 16 GB RAM within 30 minutes and freezes the operating system. Occurred right after rebooting.,Software,Application Crash,MEDIUM,Software Support
Shared network drive \\nas01\projects is out of space,Users cannot save files to corporate project storage; disk quota exceeded.,Server / Infrastructure,Storage,HIGH,Infrastructure
Escalation: Clicked suspicious link in unexpected email,I inadvertently clicked on a link in an email claiming to be Microsoft password reset. Impacting ongoing customer deliverables.,Security,Phishing,HIGH,Security
Urgent assistance required: Ransomware note displayed on desktop background,Files have .locked extension and a text file demands cryptocurrency payment. Disconnected from LAN. Error code was captured in screenshot.,Security,Malware,HIGH,Security
Please assist urgently. Touchpad unresponsive on Dell Latitude,Cursor doesn't move when using the trackpad; external USB mouse works fine. This is blocking my daily tasks.,Hardware,Laptop,MEDIUM,Hardware Support
Please assist urgently. Spear phishing targeting executive assistant,Attacker attempting wire transfer authorization using spoofed CFO email header. This is blocking my daily tasks.,Security,Phishing,CRITICAL,Security
Escalation: Nightly automated database backup failed,Veeam / pg_dump job terminated with exit code 1; snapshot could not be committed. Impacting ongoing customer deliverables.,Server / Infrastructure,Backup,CRITICAL,Infrastructure
Escalation: Printer leaving black smudge across pages,"Drum unit appears dirty, leaving horizontal stripes on every printed invoice. Impacting ongoing customer deliverables.",Hardware,Printer,MEDIUM,Hardware Support
Install Postman for API testing,Require Postman desktop client for testing microservices endpoints.,Software,Software Installation,LOW,Software Support
FYI for the helpdesk team. Password reset link expired or invalid,Self-service password reset portal says security questions are not configured. Multiple teammates are experiencing this as well.,Account & Access,Password Reset,HIGH,IT Helpdesk
Need immediate help with this. Antivirus pop-up: Trojan.Win32 detected and quarantined,Windows Defender alerted about suspicious executable found in Temp directory. Occurred right after rebooting.,Security,Malware,HIGH,Security
Issue started this morning. Cannot login to workstation with smart card,PIN is entered correctly but smart card reader shows error 0x80090016. Restarting the system did not resolve the problem.,Account & Access,Login Problem,HIGH,IT Helpdesk
Need immediate help with this. Salesforce desktop plugin crashing Outlook,Add-in for Salesforce causes Outlook to hang during startup in safe mode. Occurred right after rebooting.,Software,Application Crash,CRITICAL,Software Support
Escalation: ERP system password expired,SAP / Oracle login states credentials have expired and requires IT admin reset. Impacting ongoing customer deliverables.,Account & Access,Password Reset,LOW,IT Helpdesk
Database disk space utilization reached 98%,Postgres WAL archive directory is filling up rapidly; less than 2 GB remaining.,Server / Infrastructure,Database Issue,HIGH,Infrastructure
Need immediate help with this. Unable to reset password via SMS OTP,OTP code for password reset is not arriving on my registered mobile device. Occurred right after rebooting.,Account & Access,Password Reset,MEDIUM,IT Helpdesk
Need immediate help with this. VPN authentication failed,Entering my credentials but VPN says authentication error even though password is correct. Occurred right after rebooting.,Network,VPN,HIGH,Network Support
AWS IAM console read-only access request,Requesting AWS sandbox account access for cloud architecture evaluation.,Account & Access,Access Request,LOW,IT Helpdesk
Help needed: Account locked after 3 invalid attempts,My domain account is locked out across all workstations and SSO services. Kindly look into this as soon as possible.,Account & Access,Login Problem,HIGH,IT Helpdesk
Outlook calendar appointments disappeared,Shared team calendar is not syncing and recurring meetings have vanished.,Email,Outlook Problem,LOW,Email Support
Not receiving external emails from clients,"Colleagues can email me internally, but no external emails are arriving today.",Email,Email Not Receiving,HIGH,Email Support
Need immediate help with this. Laptop won't power on at all,"Pressing power button produces no fan noise, charging LED doesn't light up. Occurred right after rebooting.",Hardware,Laptop,HIGH,Hardware Support
FYI for the helpdesk team. Charger cable frayed and spark noticed,The USB-C power adapter cable is frayed near the brick and needs replacement. Multiple teammates are experiencing this as well.,Hardware,Laptop,HIGH,Hardware Support
Help needed: VPN disconnects every 10 minutes,GlobalProtect / AnyConnect keeps dropping every few minutes disrupting remote desktop. Kindly look into this as soon as possible.,Network,VPN,HIGH,Network Support
Help needed: Printer leaving black smudge across pages,"Drum unit appears dirty, leaving horizontal stripes on every printed invoice. Kindly look into this as soon as possible.",Hardware,Printer,LOW,Hardware Support
Please assist urgently. Emails going directly to Junk / Spam folder,Legitimate internal communication from HR is being routed to Spam folder. This is blocking my daily tasks.,Email,Email Not Receiving,CRITICAL,Email Support
FYI for the helpdesk team. Requesting file restoration from tape backup,Need accidentally deleted folder /var/www/legacy restored from last Friday's backup. Multiple teammates are experiencing this as well.,Server / Infrastructure,Backup,MEDIUM,Infrastructure
Issue started this morning. Wireless mouse scroll wheel broken,Logitech wireless mouse scroll wheel is spinning freely without scrolling. Restarting the system did not resolve the problem.,Hardware,Peripherals,LOW,Hardware Support
Excel crashing when opening financial report,Opening large 50MB spreadsheet causes Excel to crash with Exception code 0xc0000005.,Software,Application Crash,CRITICAL,Software Support
Issue started this morning. Cannot send email to distribution list,Getting error: 'You don't have permission to send to this distribution group.' Restarting the system did not resolve the problem.,Email,Email Not Sending,HIGH,Email Support
Hyper-V host hardware purple screen of death,Host server running 15 virtual machines crashed due to memory parity error.,Server / Infrastructure,Server Down,CRITICAL,Infrastructure
Urgent assistance required: Database disk space utilization reached 98%,Postgres WAL archive directory is filling up rapidly; less than 2 GB remaining. Error code was captured in screenshot.,Server / Infrastructure,Database Issue,CRITICAL,Infrastructure
Issue started this morning. Requesting Python and Docker desktop installation,Need local development tools installed on my workstation for new project. Restarting the system did not resolve the problem.,Software,Software Installation,MEDIUM,Software Support
Need immediate help with this. Reverse DNS lookup failure,Mail server is failing reverse PTR checks causing outgoing emails to bounce. Occurred right after rebooting.,Network,DNS,MEDIUM,Network Support
Core switch stack failure in MDF room,Cisco core switch stack member 1 went offline cutting off all VLAN routing.,Server / Infrastructure,System Outage,CRITICAL,Infrastructure
Issue started this morning. Chrome browser update failed with error 7,Chrome cannot update to latest security release on enterprise workstation. Restarting the system did not resolve the problem.,Software,Update Issue,MEDIUM,Software Support
Urgent assistance required: WiFi connected but no internet access,"Connected to WiFi with full signal bars, but browser says DNS resolution failed. Error code was captured in screenshot.",Network,WiFi,MEDIUM,Network Support
Issue started this morning. Workstation displaying weird popups and opening browsers,Browser windows opening automatically to gambling and ad sites every 30 seconds. Restarting the system did not resolve the problem.,Security,Malware,HIGH,Security
USB thumb drive found in parking lot plugged in by mistake,An employee plugged an unknown USB drive found outside into their desktop.,Security,Security Incident,HIGH,Security
Help needed: Cannot login to workstation with smart card,PIN is entered correctly but smart card reader shows error 0x80090016. Kindly look into this as soon as possible.,Account & Access,Login Problem,HIGH,IT Helpdesk
Urgent assistance required: Office WiFi keeps dropping connection,The 5GHz WiFi in conference room 3B drops connections every few minutes. Error code was captured in screenshot.,Network,WiFi,HIGH,Network Support
Please assist urgently. Cannot login to workstation with smart card,PIN is entered correctly but smart card reader shows error 0x80090016. This is blocking my daily tasks.,Account & Access,Login Problem,HIGH,IT Helpdesk
Please assist urgently. Session hijacked on corporate portal,Activity log indicates active session while I was asleep and laptop was powered off. This is blocking my daily tasks.,Security,Suspicious Login,CRITICAL,Security
Need immediate help with this. Multiple failed login attempts during midnight hours,Security log shows 400 failed login attempts against my username. Occurred right after rebooting.,Security,Suspicious Login,CRITICAL,Security
Printer out of toner cartridge black,Printing documents comes out faint and streaked. Need replacement black toner.,Hardware,Printer,LOW,Hardware Support
Help needed: USB-C docking station ports not working,USB flash drives plugged into dock front ports are not detected by Windows. Kindly look into this as soon as possible.,Hardware,Peripherals,LOW,Hardware Support
